==============================================================================
PART A : kernel of Phi_n  (rows k=2..n-2, cols j=2..n-1)
==============================================================================
n    dims   rank   nullity kernel basis (as h, j=2..n-1)            ones in ker? nu2=wt(Phi*1)
200    98       126     0.4900   0.7778   NO (nu2>0)
400    203      244     0.5075   0.8320   NO (nu2>0)
800    389      493     0.4863   0.7890   NO (nu2>0)
1200   583      733     0.4858   0.7954   NO (nu2>0)
1600   785      948     0.4906   0.8281   NO (nu2>0)
2000   993      1194    0.4965   0.8317   NO (nu2>0)
2400   1152     1425    0.4800   0.8084   NO (nu2>0)
2800   1413     1656    0.5046   0.8533   NO (nu2>0)
3000   1475     1776    0.4917   0.8305   NO (nu2>0)

min nu2/w over n in [50, 3000] = 0.5152  (at n=53)
The real prime bit string never reaches ratio 0: nu2/w is bounded
well away from the kernel direction.  (Samples only; the specific
realised range is reported by the dense per-n table above.
