
=== n=2: distinct sets=0  total pairs=(n-2)^2=0  largest diam=-1 multiplicity=0 ===
  |A|=  8 diam= 11 runs=3 run_lengths=[2,4,2] m=2
  |A|=  4 diam= 10 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  9 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  8 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 11 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  6 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  6 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  6 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 10 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 11 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 10 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 10 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 12 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  6 diam= 12 runs=4 run_lengths=[2,2,1,1] m=2
  |A|=  6 diam=  9 runs=4 run_lengths=[1,1,2,2] m=2
  |A|=  6 diam=  8 runs=4 run_lengths=[2,1,1,2] m=2
  |A|=  6 diam= 12 runs=4 run_lengths=[2,1,2,1] m=2
  |A|=  8 diam= 12 runs=4 run_lengths=[2,2,2,2] m=2
  |A|=  8 diam= 10 runs=4 run_lengths=[4,1,2,1] m=2
  |A|=  8 diam= 12 runs=4 run_lengths=[2,2,2,2] m=2
  |A|=  8 diam= 12 runs=4 run_lengths=[2,2,2,2] m=2

=== n=15: distinct sets=79  total pairs=(n-2)^2=169  largest diam=13 multiplicity=2 ===
  weighted span histogram diam->mult: 2:8 3:8 4:10 5:10 6:14 7:12 8:14 9:14 10:20 11:16 12:18 13:12
  |A|=  0 diam=  - runs=0 run_lengths=[] m=13
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  4 diam=  3 runs=1 run_lengths=[4] m=2
  |A|=  8 diam=  7 runs=1 run_lengths=[8] m=2
  |A|=  8 diam=  7 runs=1 run_lengths=[8] m=2
  |A|=  8 diam=  7 runs=1 run_lengths=[8] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  6 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  2 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  4 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  8 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  8 runs=2 run_lengths=[1,1] m=2
  |A|=  2 diam=  8 runs=2 run_lengths=[1,1] m=2
  |A|=  4 diam=  4 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  8 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  7 runs=2 run_lengths=[1,3] m=2
  |A|=  4 diam=  7 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  5 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  5 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  5 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  5 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  9 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  9 runs=2 run_lengths=[2,2] m=2
  |A|=  4 diam=  9 runs=2 run_lengths=[2,2] m=2
  |A|=  6 diam=  6 runs=2 run_lengths=[5,1] m=2
  |A|=  6 diam=  6 runs=2 run_lengths=[3,3] m=2
  |A|=  6 diam= 10 runs=2 run_lengths=[3,3] m=2
  |A|=  8 diam= 10 runs=2 run_lengths=[4,4] m=2
  |A|=  8 diam=  9 runs=2 run_lengths=[4,4] m=2
  |A|=  8 diam= 11 runs=2 run_lengths=[4,4] m=2
  |A|=  8 diam= 11 runs=2 run_lengths=[4,4] m=2
  |A|=  4 diam=  5 runs=3 run_lengths=[1,2,1] m=2
  |A|=  4 diam=  8 runs=3 run_lengths=[2,1,1] m=2
  |A|=  4 diam=  7 runs=3 run_lengths=[1,2,1] m=2
  |A|=  6 diam= 10 runs=3 run_lengths=[4,1,1] m=2
  |A|=  6 diam= 11 runs=3 run_lengths=[1,1,4] m=2
  |A|=  8 diam= 11 runs=3 run_lengths=[2,2,4] m=2
  |A|=  8 diam=  9 runs=3 run_lengths=[1,6,1] m=2
  |A|=  8 diam= 11 runs=3 run_lengths=[1,4,3] m=2
  |A|=  8 diam= 11 runs=3 run_lengths=[2,4,2] m=2
  |A|=  4 diam= 10 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  9 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  8 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 11 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  6 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  6 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  6 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 10 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam=  6 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 11 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 10 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 10 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 10 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 12 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  4 diam= 12 runs=4 run_lengths=[1,1,1,1] m=2
  |A|=  6 diam= 12 runs=4 run_lengths=[2,2,1,1] m=2
  |A|=  6 diam=  9 runs=4 run_lengths=[1,1,2,2] m=2
  |A|=  6 diam=  8 runs=4 run_lengths=[2,1,1,2] m=2
